127.0.0.1 - - [10/Jun/2024:18:25:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:28:32 +0900] "GET /webproject/02/review.html HTTP/1.1" 200 11019
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:28:33 +0900] "GET /webproject/02/css/style.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:28:33 +0900] "GET /webproject/02/css/header_footer.css HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:28:33 +0900] "GET /webproject/02/css/common.css HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:28:33 +0900] "GET /webproject/02/images/logo_black.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:28:33 +0900] "GET /webproject/02/images/icon_serch.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:28:33 +0900] "GET /webproject/02/images/icon-login.gif HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:28:33 +0900] "GET /webproject/images/tshirt.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:28:37 +0900] "GET /webproject/02/review.html HTTP/1.1" 200 11019
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:28:38 +0900] "GET /webproject/02/css/style.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:28:38 +0900] "GET /webproject/02/css/header_footer.css HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:28:38 +0900] "GET /webproject/02/css/common.css HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:28:38 +0900] "GET /webproject/02/images/logo_black.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:28:38 +0900] "GET /webproject/02/images/icon_serch.png HTTP/1.1" 404 854
